file,url,sha,size,time
nama_10_gdp_2025-09-07_1922.tsv.gz,https://ec.europa.eu/eurostat/api/dissemination/files/data/nama_10_gdp.tsv.gz,d513da06de2288b0b995a178836179cd597379bee4e2db74731f45d6b49d760d,1864,2025-09-07T17:22:10Z
nama_10_gdp_2025-09-07_1922.tsv.gz,https://ec.europa.eu/eurostat/api/dissemination/files/data/nama_10_gdp.tsv.gz,d513da06de2288b0b995a178836179cd597379bee4e2db74731f45d6b49d760d,1864,2025-09-07T17:22:10Z
nama_10_gdp_2025-09-07_1942.tsv.gz,https://ec.europa.eu/eurostat/api/dissemination/files/data/nama_10_gdp.tsv.gz,6f0eddb4757149c91b061d2097986b6345678ff8a684b60089b17dcf5643e0b4,1864,2025-09-07T17:42:22Z
nama_10_gdp_2025-09-07_2027.tsv.gz,https://ec.europa.eu/eurostat/api/dissemination/files/data/nama_10_gdp.tsv.gz,a581db488db400a3dc047f64e81bc33cde283957b755bed26b7e532440aa7383,1865,2025-09-07T18:27:27Z
